bcr_patient_barcode,GATA3,PTEN,XBP1,ESR1,MUC1
TCGA-A1-A0SD-01A-11R-A115-07,2.8705,1.36135714285714,2.98333333333333,3.08425,1.652125
TCGA-A1-A0SE-01A-11R-A084-07,2.16625,0.428357142857143,2.55083333333333,2.386,3.08025
TCGA-A1-A0SH-01A-11R-A084-07,1.3235,1.30564285714286,3.02041666666667,0.79125,2.98525
TCGA-A1-A0SJ-01A-11R-A084-07,1.841625,0.809642857142857,3.13133333333333,2.49541666666667,-1.9185
TCGA-A1-A0SK-01A-12R-A084-07,-6.02525,0.250857142857143,-1.45175,-4.86066666666667,-1.1715
TCGA-A1-A0SM-01A-11R-A084-07,1.8045,1.31078571428571,4.04108333333333,2.797,3.52975
TCGA-A1-A0SO-01A-22R-A084-07,-4.87925,-0.236928571428571,-0.72475,-4.48608333333333,-1.45575
TCGA-A1-A0SP-01A-11R-A084-07,-3.14325,-1.24321428571429,-1.19308333333333,-1.62741666666667,-0.98675
TCGA-A2-A04N-01A-11R-A115-07,2.034,1.20742857142857,2.27883333333333,4.11558333333333,0.668
TCGA-A2-A04P-01A-31R-A034-07,-0.293125,0.288357142857143,-1.60508333333333,0.473166666666667,0.0115
TCGA-A2-A04Q-01A-21R-A034-07,-0.802625,-0.165785714285714,0.329416666666667,-1.80158333333333,1.0395
TCGA-A2-A04R-01A-41R-A109-07,2.646375,0.585357142857143,3.05633333333333,3.84525,1.894875
TCGA-A2-A04T-01A-21R-A034-07,-2.315375,-0.00171428571428569,-1.18083333333333,-3.24466666666667,-0.6775
TCGA-A2-A04U-01A-11R-A115-07,-3.758125,0.458571428571429,-2.43825,-4.21433333333333,-1.367375
TCGA-A2-A04V-01A-21R-A034-07,3.93,0.7145,2.08591666666667,4.07166666666667,1.26175
TCGA-A2-A04W-01A-31R-A115-07,-1.28125,0.367,1.71858333333333,-1.46258333333333,1.999625
TCGA-A2-A04X-01A-21R-A034-07,1.619375,0.924,2.00641666666667,0.917333333333333,4.118375
TCGA-A2-A04Y-01A-21R-A034-07,1.87025,-0.0349285714285715,1.18116666666667,3.01266666666667,1.899625
TCGA-A2-A0CL-01A-11R-A115-07,1.470375,0.146,1.50983333333333,0.43225,-0.475375
TCGA-A2-A0CM-01A-31R-A034-07,-2.95925,1.35628571428571,-1.14491666666667,-1.44283333333333,1.45475
TCGA-A2-A0CP-01A-11R-A034-07,2.34725,0.934642857142857,0.960666666666667,2.85416666666667,1.58325
TCGA-A2-A0CQ-01A-21R-A034-07,2.456625,0.643,2.44658333333333,4.35833333333333,2.863875
TCGA-A2-A0CS-01A-11R-A115-07,3.36942857142857,-0.145,2.453,4.52125,3.0375
TCGA-A2-A0CT-01A-31R-A056-07,2.977875,0.269928571428571,3.18941666666667,3.98691666666667,-0.1495
TCGA-A2-A0CU-01A-12R-A034-07,2.26375,0.473285714285714,2.78441666666667,5.1325,1.2825
TCGA-A2-A0CV-01A-31R-A115-07,1.992,0.977357142857143,1.43816666666667,3.63908333333333,3.01225
TCGA-A2-A0CW-01A-21R-A115-07,1.543125,0.457214285714286,1.61925,4.52616666666667,-0.24525
TCGA-A2-A0CX-01A-21R-A00Z-07,1.477875,0.864142857142857,1.03158333333333,-1.27158333333333,2.025625
TCGA-A2-A0CY-01A-12R-A034-07,0.043375,0.641,1.14258333333333,4.39041666666667,2.65825
TCGA-A2-A0CZ-01A-11R-A034-07,2.30575,0.981785714285714,0.420666666666667,1.66408333333333,1.551125
TCGA-A2-A0D0-01A-11R-A00Z-07,-2.202125,0.335,-1.81375,-4.62591666666667,1.01375
TCGA-A2-A0D1-01A-11R-A034-07,1.814625,1.1,2.16058333333333,-2.71908333333333,-2.582875
TCGA-A2-A0D2-01A-21R-A034-07,-1.291625,-0.6985,-0.872833333333333,-2.594,-0.967125
TCGA-A2-A0D3-01A-11R-A115-07,2.983875,0.269071428571429,2.934,3.19008333333333,3.451875
TCGA-A2-A0D4-01A-11R-A00Z-07,2.135,-0.134142857142857,2.48483333333333,3.561,-0.403875
TCGA-A2-A0EM-01A-11R-A034-07,1.98825,1.35585714285714,2.36383333333333,4.16591666666667,3.2385
TCGA-A2-A0EN-01A-13R-A084-07,1.382875,0.784571428571429,1.92883333333333,3.43875,2.81475
TCGA-A2-A0EO-01A-11R-A034-07,1.80525,1.252,2.47916666666667,3.257,3.042375
TCGA-A2-A0EQ-01A-11R-A034-07,1.83425,0.726857142857143,1.88241666666667,0.112583333333333,-0.110375
TCGA-A2-A0ER-01A-21R-A034-07,2.947375,1.02578571428571,3.48691666666667,4.58658333333333,1.0355
TCGA-A2-A0ES-01A-11R-A115-07,0.789,1.12007142857143,3.35433333333333,3.19025,2.259625
TCGA-A2-A0ET-01A-31R-A034-07,2.793125,1.00721428571429,1.88291666666667,4.38608333333333,1.059875
TCGA-A2-A0EU-01A-22R-A056-07,2.640375,0.5505,3.46741666666667,4.44316666666667,0.638625
TCGA-A2-A0EV-01A-11R-A034-07,1.71,0.927285714285714,2.53308333333333,3.99325,2.928625
TCGA-A2-A0EW-01A-21R-A115-07,1.552,1.3415,2.54458333333333,3.55041666666667,2.955
TCGA-A2-A0EX-01A-21R-A034-07,1.764625,1.08985714285714,2.30133333333333,2.30091666666667,2.151
TCGA-A2-A0EY-01A-11R-A034-07,1.220375,0.403642857142857,2.71275,2.92958333333333,2.50475
TCGA-A2-A0ST-01A-12R-A084-07,-0.07625,1.10871428571429,0.597166666666667,0.621166666666667,0.015125
TCGA-A2-A0SU-01A-11R-A084-07,2.825625,0.558357142857143,2.28891666666667,5.06233333333333,2.272625
TCGA-A2-A0SV-01A-11R-A084-07,1.83325,0.34,1.87866666666667,1.88958333333333,2.588375
TCGA-A2-A0SW-01A-11R-A084-07,0.3605,0.823785714285714,1.50241666666667,3.46925,2.739625
TCGA-A2-A0SX-01A-12R-A084-07,-1.734875,1.21914285714286,0.37525,-1.14416666666667,-0.502625
TCGA-A2-A0SY-01A-31R-A084-07,2.09175,1.245,3.6995,3.865,3.446
TCGA-A2-A0T0-01A-22R-A084-07,0.342875,-0.544857142857143,0.84525,-2.00266666666667,2.343125
TCGA-A2-A0T1-01A-21R-A084-07,0.11025,0.391571428571429,1.44366666666667,-2.69541666666667,1.194
TCGA-A2-A0T2-01A-11R-A084-07,0.164125,-1.12164285714286,-1.747,-2.88033333333333,2.55975
TCGA-A2-A0T3-01A-21R-A115-07,2.118875,1.27492857142857,2.98116666666667,3.5905,1.126625
TCGA-A2-A0T4-01A-31R-A084-07,2.364625,1.14042857142857,2.48383333333333,4.26783333333333,2.516125
TCGA-A2-A0T5-01A-21R-A084-07,1.94425,0.936285714285714,2.67708333333333,2.78641666666667,2.8815
TCGA-A2-A0T6-01A-11R-A084-07,1.92775,1.39164285714286,1.26733333333333,2.07275,2.72325
TCGA-A2-A0T7-01A-21R-A084-07,1.703,1.08592857142857,1.91125,1.6945,3.23775
TCGA-A2-A0YC-01A-11R-A109-07,2.251375,2.1985,4.0255,4.37366666666667,2.689
TCGA-A2-A0YD-01A-11R-A109-07,2.19425,0.862857142857143,2.15083333333333,3.93141666666667,3.67175
TCGA-A2-A0YE-01A-11R-A109-07,-2.9355,-1.58042857142857,-0.917916666666667,-3.901,0.460125
TCGA-A2-A0YF-01A-21R-A109-07,1.73025,0.848714285714286,2.74183333333333,5.55033333333333,3.700625
TCGA-A2-A0YG-01A-21R-A109-07,1.4315,0.276571428571429,2.1425,3.44833333333333,3.106
TCGA-A2-A0YH-01A-11R-A109-07,2.021875,0.905428571428571,3.27308333333333,3.74341666666667,2.20775
TCGA-A2-A0YI-01A-31R-A10J-07,2.33425,0.197428571428571,3.72983333333333,4.53158333333333,2.7145
TCGA-A2-A0YJ-01A-11R-A109-07,-4.565,0.665071428571429,-1.39590909090909,-3.59008333333333,2.846375
TCGA-A2-A0YK-01A-22R-A109-07,1.426125,1.19035714285714,2.21516666666667,3.8335,2.764125
TCGA-A2-A0YL-01A-21R-A109-07,1.97175,1.56357142857143,2.25858333333333,2.38058333333333,2.315375
TCGA-A2-A0YM-01A-11R-A109-07,-2.713,0.456714285714286,-1.59225,-2.92008333333333,0.868375
TCGA-A2-A0YT-01A-11R-A109-07,1.498125,0.4205,2.02825,3.87741666666667,2.747875
TCGA-A7-A0CD-01A-11R-A00Z-07,3.138875,0.620928571428571,3.43966666666667,4.62858333333333,3.3215
TCGA-A7-A0CE-11A-21R-A089-07,-0.000124999999999997,1.69242857142857,3.20183333333333,3.97575,1.260375
TCGA-A7-A0CE-01A-11R-A00Z-07,-1.031,0.0466428571428571,-1.26275,-1.10241666666667,1.92175
TCGA-A7-A0CG-01A-12R-A056-07,1.216,1.57228571428571,1.05275,4.65275,3.474
TCGA-A7-A0CH-11A-32R-A089-07,0.31875,0.876214285714286,1.36375,3.15516666666667,1.686
TCGA-A7-A0CH-01A-21R-A00Z-07,2.484625,0.624714285714286,3.02183333333333,5.46758333333333,3.776875
TCGA-A7-A0CJ-01A-21R-A00Z-07,2.42025,0.0158571428571428,2.3025,4.66491666666667,-1.9175
TCGA-A7-A0D9-11A-53R-A089-07,-3.25025,2.04185714285714,-1.66775,0.579083333333333,-2.793875
TCGA-A7-A0D9-01A-31R-A056-07,2.834875,0.9175,3.12708333333333,3.28466666666667,1.377375
TCGA-A7-A0DA-01A-31R-A115-07,-1.06175,0.480142857142857,-0.785083333333333,-3.34258333333333,2.144875
TCGA-A7-A0DB-11A-33R-A089-07,-3.86425,1.69635714285714,-1.37558333333333,0.03225,-2.4035
TCGA-A7-A0DB-01A-11R-A00Z-07,1.926625,-0.420857142857143,2.0595,4.46308333333333,3.792
TCGA-A7-A13D-01A-13R-A12P-07,-1.74525,-0.4275,-1.21308333333333,-3.038,2.97175
TCGA-A7-A13E-11A-61R-A12P-07,-0.42975,1.74828571428571,0.84825,2.49125,0.22875
TCGA-A7-A13E-01A-11R-A12P-07,-4.3955,0.829928571428571,-1.34416666666667,-1.0925,0.867375
TCGA-A7-A13F-11A-42R-A12P-07,-0.75225,1.91635714285714,-0.0705,0.352416666666667,-0.045625
TCGA-A7-A13F-01A-11R-A12P-07,2.2625,1.06642857142857,3.16225,2.84233333333333,3.558
TCGA-A8-A06N-01A-12R-A056-07,3.31925,-0.102714285714286,3.65491666666667,5.61366666666667,1.4875
TCGA-A8-A06O-01A-11R-A00Z-07,0.788125,-0.261,3.21066666666667,4.57983333333333,0.04375
TCGA-A8-A06P-01A-11R-A00Z-07,1.6045,0.8395,1.84875,3.09075,2.27425
TCGA-A8-A06Q-01A-11R-A034-07,0.8905,-0.0378571428571429,3.24275,3.48508333333333,2.792375
TCGA-A8-A06R-01A-11R-A00Z-07,1.100625,0.528642857142857,1.28033333333333,4.43058333333333,2.146375
TCGA-A8-A06T-01A-11R-A00Z-07,2.375375,1.04185714285714,2.51858333333333,5.27391666666667,3.032125
TCGA-A8-A06U-01A-11R-A00Z-07,2.674125,0.000214285714285699,2.71383333333333,4.33925,-1.047
TCGA-A8-A06X-01A-21R-A00Z-07,3.715125,0.648857142857143,0.89925,4.947,1.98875
TCGA-A8-A06Y-01A-21R-A00Z-07,2.975125,0.515428571428571,1.28966666666667,5.25875,2.2535
TCGA-A8-A06Z-01A-11R-A00Z-07,1.44025,0.7295,2.89391666666667,4.4275,2.715125
TCGA-A8-A075-01A-11R-A084-07,1.710625,0.592928571428571,2.23683333333333,1.47258333333333,3.10175
TCGA-A8-A076-01A-21R-A00Z-07,1.62275,0.667214285714286,1.95958333333333,1.89566666666667,2.668125
TCGA-A8-A079-01A-21R-A00Z-07,2.59625,0.441357142857143,2.92725,5.36833333333333,-2.34575
TCGA-A8-A07B-01A-11R-A00Z-07,2.115375,0.887357142857143,2.00975,3.03133333333333,0.72675
TCGA-A8-A07C-01A-11R-A034-07,-4.39275,-0.176642857142857,-1.12166666666667,-3.456,-1.89825
TCGA-A8-A07E-01A-11R-A034-07,1.210625,0.771357142857143,2.23266666666667,4.13566666666667,3.08425
TCGA-A8-A07F-01A-11R-A00Z-07,1.926625,1.09342857142857,2.87783333333333,3.25716666666667,3.37025
TCGA-A8-A07G-01A-11R-A034-07,1.7355,0.882428571428571,3.05258333333333,4.65716666666667,3.30225
TCGA-A8-A07I-01A-11R-A00Z-07,1.544,1.23107142857143,4.29766666666667,3.97508333333333,3.101
TCGA-A8-A07J-01A-11R-A00Z-07,2.47175,0.964071428571429,1.47766666666667,2.48816666666667,2.7215
TCGA-A8-A07L-01A-11R-A040-07,2.15475,0.674285714285714,3.33533333333333,5.78758333333333,2.656625
TCGA-A8-A07O-01A-11R-A00Z-07,-2.05,0.725714285714286,-1.003,-1.67058333333333,3.2685
